,zloc_pred,filename,xmin,ymin,xmax,ymax,angle,xloc,yloc,zloc
0,20.07589912,000008.txt,884.52,178.31,956.41,240.18,-1.65,8.48,1.75,19.96
1,35.63113403,000011.txt,649.28,168.1,664.61,206.4,-0.39,2.2,1.57,34.08
2,52.99443054,000023.txt,372.95,182.64,412.21,205.68,1.86,-16.57,2.43,55.08
3,59.55953598,000024.txt,443.6,168.03,480.35,195.69,-1.67,-7.78,0.51,38.09
4,68.15773773,000024.txt,427.54,165.14,455.37,185.51,-1.65,-12.08,0,52.01
5,42.68268967,000025.txt,650.19,175.43,659.99,205.2,1.6,2.77,1.98,44.63
6,12.36454296,000031.txt,334.28,180.65,490.02,297.48,-1.35,-3.18,1.79,12.2
7,32.80874634,000032.txt,780.93,147.56,917.34,199.48,-0.31,12.82,1.38,39.04
8,7.19178009,000039.txt,114.51,193.47,466.61,374,1.9,-2.7,1.73,7.17
9,54.09279633,000039.txt,561.27,178.49,585.9,201.02,1.58,-2.47,1.85,48.95
10,19.67903519,000043.txt,719.54,160,745.42,229.67,1.09,3.32,1.56,20.3
11,14.50210571,000044.txt,378.01,183.98,507.17,276.44,1.79,-3.11,1.75,13.93
12,16.32509613,000048.txt,453.2,159.81,482.53,241.31,-1.42,-3.22,1.31,16.26
13,20.89773369,000049.txt,0,170.48,111.64,240.66,2.23,-14.04,1.5,17.43
14,37.32749939,000050.txt,641.55,172.79,681.44,206.29,-1.58,2.22,1.4,31.72
15,8.76455307,000058.txt,410.27,163.81,498.68,327.03,-2.94,-1.56,1.45,7.29
16,37.03167343,000059.txt,558.06,180.83,599.17,213.45,-1.56,-1.33,1.6,30.01
17,8.641069412,000061.txt,0,212.28,41.28,328.12,1.66,-9.76,2.12,10.93
18,47.39727783,000061.txt,884.04,123.51,923.63,169.76,-1.55,16.49,-0.21,40.44
19,26.28773499,000062.txt,502.22,185.85,574.38,229.91,1.82,-2.63,1.99,27.12
20,47.67481995,000062.txt,602.85,184.1,638.97,209.35,1.71,0.67,2.11,43.31
21,29.9450798,000064.txt,657.65,179.93,709.86,219.92,-1.7,2.65,1.65,26.82
22,55.52946854,000067.txt,671.83,174.3,702.61,195.46,-1.45,5.12,1.44,47.66
23,63.1141243,000069.txt,501.21,177.91,556.47,194.32,0.21,-7.02,1.82,62.51
24,32.8237648,000072.txt,590.87,174.23,629.98,213.19,-1.57,-0.01,1.71,32.6
25,33.0664444,000073.txt,535.68,174.41,549.63,214.38,-2.02,-2.86,1.68,29.55
26,29.20795441,000075.txt,611.24,182.17,671.77,222.71,1.83,1.26,1.85,28.33
27,11.70636749,000079.txt,357.22,182.05,567.87,301.78,-1.08,-2.04,1.61,10.74
28,9.070817947,000079.txt,0,183.03,326.6,330.77,-0.7,-6.07,1.67,9.82
29,73.70939636,000079.txt,590.5,158.43,650.51,188.63,1.22,1.05,1.9,90.09
30,30.05228043,000080.txt,589.68,172.46,633.43,216.04,-1.57,0.02,1.64,29.39
31,14.14583397,000083.txt,368.92,183.19,504.02,279.22,-1.35,-2.74,1.45,12.45
32,54.9358902,000087.txt,560.17,171.53,569.17,196.85,-0.28,-3.11,1.64,49.54
33,22.00219536,000092.txt,359.95,187.35,456.4,240.78,2.01,-6.52,2.06,23.56
34,13.10911369,000093.txt,246.99,194.92,425.43,297.77,1.94,-4.46,1.81,12.2
35,47.84309387,000093.txt,550.61,176.8,587.13,202.37,1.72,-2.47,1.72,43.68
36,14.35244751,000096.txt,639.45,187.58,879.59,275.73,-0.41,2.62,1.69,13.09
37,63.18309021,000097.txt,536.07,176.04,569.72,194.78,1.85,-4.6,1.73,58.47
38,53.28131485,000098.txt,744.38,186.34,780.79,207.95,-1.3,10.66,1.49,49.41
39,30.14559174,000099.txt,635.86,176.79,705.58,216.29,1.91,2.6,1.72,30.37
40,44.94721603,000104.txt,713.77,181.24,750.23,207.65,1.76,7.56,2.07,44.59
41,55.32838058,000107.txt,627.47,154.29,664.8,198.6,-1.64,2.41,1.7,49.9
42,14.2144413,000108.txt,862.56,148.89,932.93,247.96,-1.96,5.62,1.39,14.29
43,29.46241379,000111.txt,386.09,185.25,455.28,225.54,1.81,-7.11,1.86,27.32
44,72.95262909,000111.txt,490.26,176.93,516.06,192.21,1.77,-10.59,1.88,71.7
45,43.63486862,000113.txt,566.29,136.24,602.63,190.21,1.53,-1.95,1.19,51.93
46,30.78999901,000113.txt,0,173.43,36.44,215.69,2.14,-29.73,2.06,35.51
47,18.89311218,000114.txt,589.01,187.21,668.42,253.27,-1.59,0.35,1.73,17.14
48,33.38663864,000114.txt,325.53,175.96,390.57,216.45,1.89,-11.42,1.87,32.86
49,28.70174026,000116.txt,495.51,181.48,548.24,222.91,1.7,-3.54,1.91,29.23
50,38.79290771,000116.txt,563.32,177.53,606.36,208.9,-1.44,-1.36,1.91,40.16
51,10.6449585,000117.txt,787.95,180.39,1089.82,304.56,-0.46,4.44,1.68,10.14
52,10.37526894,000118.txt,841.06,198.52,902.78,304.38,1.7,3.44,1.49,9.22
53,17.82622337,000119.txt,381.63,186.6,479.85,256.4,1.8,-4.05,1.74,16.55
54,18.8612709,000119.txt,496.82,183.63,587.26,252.05,1.7,-1.53,1.67,17.03
55,14.39836216,000120.txt,346.63,185.82,485.85,278.21,1.86,-3.68,1.82,14.17
56,32.20891571,000120.txt,716.11,175.23,783.6,212.42,-1,6.4,1.73,33.03
